HEXCODE,PARAMETER_ID,PARAMETER_ID,MIN_VALUE_NU,MAX_VALUE_NU,RGB_R_NU,RGB_G_NU,RGB_B_NU,SHORT_NAME_TX,DWH1_T_UNIT_REF.NAME_E_TX,SHORT_SIGN_TX,NAME_G_TX,NAME_F_TX,NAME_I_TX,DWH1_T_PARAM_GROUP_REF.NAME_E_TX,DESC_G_TX,DESC_F_TX,DESC_E_TX,DESC_I_TX,UUID_TX,TECHNICAL_NAME_TX,MHS_PRODUCT_NAME_TX,LABEL_G,LABEL_F,LABEL_I,LABEL_E,LABEL_DEF_G,LABEL_DEF_F,LABEL_DEF_I,LABEL_DEF_E
#FCBBAA,91,91,6,9,252,187,170,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,6 bis 9 °C,de 6 à 9 °C,da 6 a 9 °C,6 to 9 °C,6 bis 9 °C,de 6 à 9 °C,da 6 a 9 °C,6 to 9 °C
#FC9272,91,91,9,12,252,146,114,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,9 bis 12 °C,de 9 à 12 °C,da 9 a 12 °C,9 to 12 °C,9 bis 12 °C,de 9 à 12 °C,da 9 a 12 °C,9 to 12 °C
#FB6A4A,91,91,12,15,251,106,74,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,12 bis 15 °C,de 12 à 15 °C,da 12 a 15 °C,12 to 15 °C,12 bis 15 °C,de 12 à 15 °C,da 12 a 15 °C,12 to 15 °C
#F03C2B,91,91,15,20,240,60,43,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,15 bis 20 °C,de 15 à 20 °C,da 15 a 20 °C,15 to 20 °C,15 bis 20 °C,de 15 à 20 °C,da 15 a 20 °C,15 to 20 °C
#CC181E,91,91,20,25,204,24,30,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,20 bis 25 °C,de 20 à 25 °C,da 20 a 25 °C,20 to 25 °C,20 bis 25 °C,de 20 à 25 °C,da 20 a 25 °C,20 to 25 °C
#A60F14,91,91,25,30,166,15,20,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,25 bis 30 °C,de 25 à 30 °C,da 25 a 30 °C,25 to 30 °C,25 bis 30 °C,de 25 à 30 °C,da 25 a 30 °C,25 to 30 °C
#780A0F,91,91,30,35,120,10,15,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,30 bis 35 °C,de 30 à 35 °C,da 30 a 35 °C,30 to 35 °C,30 bis 35 °C,de 30 à 35 °C,da 30 a 35 °C,30 to 35 °C
#5F0000,91,91,35,50,95,0,0,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,> 35 °C,> 35 °C,> 35 °C,> 35 °C,35 bis 50 °C,de 35 à 50 °C,da 35 a 50 °C,35 to 50 °C
#FFFFFF,93,93,0,0.1,255,255,255,rre150z0,millimeter,mm,Niederschlag,précipitations,precipitazioni,precipitation,Niederschlag; Zehnminutensumme,précipitation: sommation sur 10 minutes,Precipitation; ten minutes total,Precipitazioni; somma su dieci minuti,70a66635-768f-40d1-8370-65734a1060e7,messwerte-niederschlag-10min,i2016t,kein Regen,pas de pluie,senza pioggia,no rain,0 bis 0.1 mm,de 0 à 0.1 mm,da 0 a 0.1 mm,0 to 0.1 mm
#EDFAC2,93,93,0.1,1,237,250,194,rre150z0,millimeter,mm,Niederschlag,précipitations,precipitazioni,precipitation,Niederschlag; Zehnminutensumme,précipitation: sommation sur 10 minutes,Precipitation; ten minutes total,Precipitazioni; somma su dieci minuti,70a66635-768f-40d1-8370-65734a1060e7,messwerte-niederschlag-10min,i2016t,0.1 bis 1 mm,de 0.1 à 1 mm,da 0.1 a 1 mm,0.1 to 1 mm,0.1 bis 1 mm,de 0.1 à 1 mm,da 0.1 a 1 mm,0.1 to 1 mm
